888 2802
287 339 119
29 810 36
392 523 916
705 477 464
691 615 975
778 613 467
638 631 892
654 104 20
320 384 293
734 516 780
69 887 673
491 345 906
424 457 41
646 267 673
853 691 840
811 870 268
672 101 44
21 756 220
620 420 658
392 623 482
63 19 694
145 397 947
623 738 139
65 264 594
573 323 743
27 247 299
694 238 756
881 322 854
188 415 464
382 110 93
64 291 778
32 272 621
272 194 751
475 648 264
33 789 601
550 825 240
492 248 193
821 275 886
221 492 186
793 161 71
231 715 56
545 320 115
439 875 149
408 11 38
283 202 573
353 887 544
758 335 683
677 146 130
160 591 449
433 474 987
29 792 768
28 840 131
432 859 309
631 518 196
678 93 730
99 739 169
205 83 91
737 815 925
406 764 512
392 390 569
791 557 606
507 464 368
16 318 691
873 839 542
794 748 640
639 481 285
441 110 397
775 182 517
837 711 164
39 160 933
676 457 347
803 164 728
537 15 352
28 453 780
388 125 712
521 557 42
105 615 541
372 832 166
66 559 10
308 338 212
616 111 806
653 745 954
145 461 563
459 322 920
219 83 608
609 46 890
624 518 542
805 268 356
707 684 430
506 743 265
706 466 119
499 597 879
263 172 327
642 617 888
679 828 85
823 387 33
407 331 813
584 269 419
443 721 577
627 12 997
629 102 129
280 231 475
774 289 509
548 455 720
666 419 73
454 837 378
596 173 218
712 395 806
115 411 51
818 313 199
83 483 78
457 826 433
694 706 23
224 869 107
260 555 939
488 255 742
790 119 856
690 626 366
65 440 722
736 432 288
201 699 283
204 659 374
294 380 483
783 696 584
869 6 594
751 721 963
774 360 303
165 317 412
213 547 783
195 634 777
74 438 142
589 238 600
580 537 353
211 227 837
64 259 145
385 643 622
621 269 945
585 6 888
555 679 257
489 703 662
280 415 931
574 355 787
363 440 410
683 136 993
524 560 692
266 437 7
580 14 394
216 286 293
619 28 249
832 99 904
316 863 939
504 131 754
403 353 115
826 575 999
86 266 777
177 201 956
300 816 303
759 867 854
410 59 302
351 64 477
109 375 496
655 760 800
442 558 799
553 58 298
392 37 179
371 661 639
746 219 723
367 602 808
780 784 838
779 333 243
330 458 103
36 485 58
613 355 709
776 689 518
77 230 357
432 680 91
85 322 70
490 34 877
85 793 574
764 518 659
6 533 543
475 448 128
245 34 188
65 476 269
757 99 180
876 116 553
362 142 420
275 878 581
318 603 362
106 364 288
815 288 180
467 416 487
224 170 802
716 116 298
27 12 639
537 719 480
358 534 590
729 850 675
757 810 646
515 847 348
732 767 610
477 78 711
417 449 119
404 671 480
746 191 695
849 800 407
800 500 553
328 155 837
738 396 413
422 426 842
471 416 31
440 69 494
866 834 301
650 514 997
862 219 789
281 361 467
648 487 191
445 810 583
807 502 891
255 569 445
403 607 216
607 666 636
205 569 939
336 624 422
145 716 485
495 348 799
430 131 524
817 589 822
808 630 212
258 645 578
344 263 816
357 71 868
460 326 445
759 91 614
685 476 515
738 303 303
243 535 531
495 659 21
573 89 641
212 518 379
729 59 999
205 220 517
17 764 599
536 363 667
67 78 631
655 635 238
426 840 107
294 878 700
44 877 772
37 465 423
268 325 255
875 690 699
586 686 136
591 449 981
745 126 148
327 877 801
92 683 495
880 152 136
588 326 609
494 481 109
26 557 33
862 371 793
747 611 967
484 816 466
491 84 841
318 56 241
882 743 37
621 399 717
166 386 78
456 91 944
532 597 993
55 867 982
800 748 42
844 644 856
291 346 38
544 432 894
342 775 920
367 111 408
285 407 755
113 877 775
542 592 67
143 63 791
599 318 919
130 83 822
147 839 484
744 793 181
474 543 570
723 121 814
601 851 703
847 334 333
529 718 631
30 292 221
763 876 114
160 309 177
190 693 738
160 801 383
92 212 665
85 785 496
759 840 418
641 750 220
474 735 218
139 572 611
443 594 118
573 162 847
572 484 810
501 751 450
717 867 711
266 866 512
500 848 124
277 576 539
697 48 651
551 29 431
443 116 923
321 373 232
816 211 966
393 279 985
619 76 348
742 771 967
587 220 902
422 371 922
365 359 151
56 617 135
783 324 814
285 255 951
607 371 362
230 609 508
271 629 347
11 770 184
520 393 1
701 552 561
321 363 983
698 98 124
521 178 918
396 192 31
